ID,gender,race,parental level of education,lunch,test preparation course,math score,physics score,computer science score,economics score,biology score,literature score,psychology score,history score
55,female,Asian,doctorate,standard,none,38,24,37,48,43,60,62,59
56,male,European,associate's degree,standard,none,71,74,80,80,79,83,79,71
57,female,European,doctorate,standard,completed,86,86,86,85,82,85,86,83
58,male,European,some high school,free/reduced,none,62,59,67,66,68,85,78,82
59,female,European,associate's degree,standard,completed,84,87,79,78,80,81,82,75
60,male,European,some high school,standard,none,85,78,85,82,80,82,85,79
61,male,European,high school,standard,completed,93,96,97,97,97,97,97,88
62,female,American,high school,free/reduced,none,62,67,66,63,65,76,76,69
63,male,Asian,some college,standard,none,75,68,84,78,79,85,80,79
64,male,European,some college,standard,completed,81,80,81,84,85,73,76,75
65,male,European,master's degree,free/reduced,none,63,59,71,66,66,81,78,71
66,female,European,some college,standard,none,81,79,81,85,75,92,95,88
67,male,European,doctorate,standard,completed,79,78,80,78,80,93,91,88
68,male,African,bachelor's degree,standard,completed,78,66,78,71,75,76,75,75
69,female,European,some high school,standard,none,68,64,74,77,67,83,80,84
70,female,European,master's degree,standard,none,78,73,75,75,80,81,74,81
71,male,Asian,high school,standard,none,71,66,72,72,73,76,80,76
72,male,Asian,master's degree,standard,none,76,81,85,89,84,86,85,83
73,female,European,some college,standard,none,75,66,77,74,69,83,84,79
74,female,European,bachelor's degree,free/reduced,none,78,83,80,85,84,75,80,77
75,female,American,high school,standard,completed,79,81,85,77,83,84,82,74
76,male,Asian,some college,standard,none,83,84,81,82,86,91,84,87
77,male,European,some high school,standard,none,75,75,73,78,69,80,77,78
78,female,Asian,associate's degree,standard,completed,84,83,86,82,82,74,71,71
79,female,European,master's degree,standard,none,84,78,82,81,74,84,80,82
80,female,American,some college,standard,none,73,85,78,74,78,77,77,74
81,male,American,bachelor's degree,standard,none,68,72,73,75,69,79,83,81
82,male,European,bachelor's degree,free/reduced,none,85,80,79,84,80,90,95,87
83,female,European,bachelor's degree,free/reduced,none,92,94,100,91,95,88,86,85
84,female,European,doctorate,standard,completed,57,57,64,66,61,76,74,78
85,female,Asian,high school,standard,none,100,100,100,100,97,100,100,97
86,male,Asian,some college,standard,none,83,90,90,85,86,85,93,82
87,female,European,high school,free/reduced,none,87,82,80,79,82,78,81,81
88,male,American,some college,standard,none,100,100,100,100,98,100,99,96
89,male,European,bachelor's degree,standard,none,81,81,81,81,77,78,72,71
90,male,European,high school,free/reduced,completed,86,89,84,87,87,91,84,85
91,male,American,high school,standard,none,100,100,98,100,97,79,86,95
92,male,European,some high school,standard,completed,85,87,78,81,79,75,78,76
93,female,Asian,bachelor's degree,standard,completed,69,67,67,66,59,71,74,63
94,male,Asian,master's degree,standard,completed,86,92,87,80,85,76,78,78
95,female,European,some high school,standard,completed,74,75,73,80,74,88,82,80
96,female,Asian,some high school,standard,none,89,86,92,97,89,96,90,90
97,male,European,master's degree,free/reduced,completed,88,87,93,87,77,88,81,83
98,male,European,associate's degree,standard,none,91,86,90,88,84,83,85,82
99,female,Asian,some high school,standard,none,74,61,64,71,66,77,69,78
100,male,African,some college,standard,none,71,59,81,69,73,58,62,59
101,female,European,high school,standard,none,93,84,95,87,84,87,88,84
102,male,European,bachelor's degree,standard,none,82,80,79,79,74,74,78,74
103,female,European,doctorate,free/reduced,none,77,82,92,85,77,79,83,85
104,male,European,associate's degree,free/reduced,none,54,45,63,52,49,71,67,60
105,male,Asian,some college,standard,none,85,90,87,87,87,95,76,84
106,female,Asian,master's degree,standard,none,80,85,84,78,77,81,80,79
107,male,European,some college,free/reduced,none,67,61,65,68,61,77,70,76
108,male,American,master's degree,free/reduced,completed,100,100,100,100,100,99,91,97
109,female,European,doctorate,standard,completed,68,75,78,76,73,85,83,78
110,female,American,some high school,standard,completed,93,77,87,83,88,88,92,89
111,female,European,doctorate,standard,none,71,74,74,78,80,81,82,78
112,female,European,master's degree,standard,completed,60,66,71,69,71,78,85,79
113,female,European,high school,standard,none,62,51,59,59,60,73,74,70
114,female,Asian,bachelor's degree,standard,completed,79,78,82,75,79,89,86,81
115,female,European,doctorate,standard,completed,67,59,70,63,63,71,73,77
116,female,European,doctorate,standard,none,81,81,86,71,78,84,74,78
117,female,European,some college,standard,none,67,72,73,74,73,82,78,78
118,male,European,some high school,free/reduced,none,84,74,82,74,76,81,77,82
119,female,European,doctorate,standard,completed,78,81,80,87,82,98,95,92
120,female,European,associate's degree,standard,none,74,73,78,78,85,81,79,83
121,male,Asian,bachelor's degree,standard,completed,82,81,89,86,91,99,97,94
122,female,American,associate's degree,standard,none,79,79,82,80,70,97,90,88
123,male,European,bachelor's degree,free/reduced,completed,78,65,70,71,68,83,78,82
124,female,Asian,master's degree,standard,none,83,91,89,79,88,83,85,90
125,male,European,high school,standard,none,86,90,90,88,87,82,74,82
126,female,European,bachelor's degree,free/reduced,completed,94,89,98,88,88,82,85,77
127,male,American,master's degree,standard,completed,80,81,90,86,81,86,94,88
128,male,European,doctorate,standard,completed,97,93,88,91,93,92,91,96
129,male,European,some college,standard,none,60,64,65,66,63,53,58,56
130,female,Asian,doctorate,standard,completed,79,80,86,80,69,84,82,82
131,male,European,bachelor's degree,standard,completed,81,75,81,84,79,98,90,87
132,male,European,bachelor's degree,standard,none,85,76,83,89,81,95,88,84
133,male,European,associate's degree,standard,none,79,89,85,77,79,69,77,72
134,female,European,some high school,free/reduced,completed,89,94,98,93,91,89,83,96
135,female,European,associate's degree,free/reduced,completed,88,90,93,89,85,80,76,81
136,female,European,master's degree,standard,none,88,78,82,82,86,92,93,89
137,male,European,high school,free/reduced,none,83,80,80,83,82,100,91,93
138,female,European,high school,standard,completed,67,70,65,74,72,75,71,72
139,male,European,master's degree,standard,completed,83,91,90,86,80,80,74,76
140,female,American,some high school,standard,none,78,76,78,76,70,85,84,82
141,male,European,master's degree,standard,none,82,85,74,84,84,79,80,78
142,female,Asian,master's degree,standard,none,97,98,93,86,92,82,76,80
143,male,European,doctorate,free/reduced,none,78,74,75,73,73,76,78,72
144,female,Asian,master's degree,standard,none,71,63,67,76,63,76,74,72
145,male,American,master's degree,standard,completed,79,76,81,80,76,74,79,76
146,male,European,some high school,free/reduced,none,80,81,92,86,84,92,79,88
147,male,European,some high school,free/reduced,none,74,68,85,70,73,93,84,92
148,female,European,some college,standard,completed,84,82,83,85,81,83,85,80
149,male,European,some college,standard,none,71,65,74,69,66,85,77,79
150,female,American,high school,free/reduced,none,87,92,89,93,88,93,89,89
151,male,European,master's degree,standard,none,89,85,92,84,84,100,93,94
152,male,European,some college,standard,completed,87,83,88,80,82,73,73,74
153,female,European,high school,standard,none,75,79,81,79,63,73,72,69
154,male,European,high school,standard,none,91,96,91,90,92,85,82,87
155,female,European,master's degree,standard,completed,66,69,79,75,77,78,81,83
156,female,Asian,high school,standard,none,81,69,72,80,73,87,84,77
157,male,Asian,high school,standard,none,83,92,83,88,88,90,88,87
158,male,European,some college,free/reduced,none,100,100,100,93,100,100,97,97
159,male,American,some high school,standard,none,70,65,73,67,67,70,68,68
160,male,European,high school,standard,none,79,75,75,74,77,77,76,74
161,female,European,bachelor's degree,free/reduced,completed,74,74,75,70,79,73,79,70
162,male,American,some college,free/reduced,none,73,75,78,70,76,69,65,73
163,male,Asian,associate's degree,standard,completed,60,47,63,55,59,63,62,64
164,female,Asian,some high school,standard,none,51,47,54,51,48,60,56,58
165,male,European,doctorate,free/reduced,none,64,63,72,69,73,81,73,75
166,male,African,bachelor's degree,standard,completed,73,66,67,75,68,74,73,65
167,female,European,associate's degree,standard,none,78,79,83,76,76,85,90,78
168,female,American,some high school,standard,completed,68,68,67,69,71,81,85,72
169,female,European,associate's degree,free/reduced,none,79,78,84,85,83,94,94,88
170,male,European,associate's degree,standard,none,94,93,97,89,87,88,88,85
171,female,European,associate's degree,standard,none,85,84,84,82,86,80,75,75
172,female,Asian,some high school,standard,none,65,56,66,70,65,75,70,72
173,female,European,master's degree,standard,completed,99,100,100,94,86,92,91,97
174,female,European,master's degree,standard,completed,75,78,73,70,76,79,73,76
175,female,European,master's degree,standard,none,93,83,90,91,82,83,91,86
176,male,European,high school,free/reduced,none,90,97,90,100,89,100,100,95
177,male,American,some college,free/reduced,none,75,68,79,73,74,67,75,72
178,female,European,some high school,free/reduced,none,78,80,74,79,71,76,78,72
179,female,European,high school,free/reduced,none,84,79,83,79,72,73,66,75
180,female,European,some college,standard,completed,74,65,73,67,70,70,63,59
181,male,Asian,associate's degree,standard,none,93,85,83,89,84,100,100,98
182,male,European,bachelor's degree,standard,none,54,56,62,64,61,58,61,64
183,female,European,associate's degree,standard,none,72,71,68,73,75,83,88,79
184,female,American,some college,standard,completed,83,84,86,80,80,75,75,70
185,female,European,some college,standard,none,100,100,98,97,90,98,94,91
186,female,European,master's degree,standard,completed,77,87,83,89,81,85,83,85
187,male,American,associate's degree,standard,completed,61,63,61,69,63,64,67,62
188,male,Asian,associate's degree,standard,completed,85,81,93,87,86,81,81,84
189,male,European,bachelor's degree,standard,none,72,65,72,77,74,86,89,87
190,female,European,high school,standard,completed,78,86,80,79,87,89,82,84
191,male,European,some college,standard,none,58,58,60,67,67,67,71,69
192,female,African,high school,free/reduced,none,87,84,90,82,91,85,89,82
193,male,Asian,bachelor's degree,standard,none,78,86,84,84,85,92,92,87
194,male,European,some high school,standard,completed,67,61,67,74,67,86,87,86
195,female,American,some college,standard,none,76,81,83,66,71,67,63,76
196,female,European,some college,standard,none,73,75,80,79,78,76,77,78
197,male,American,bachelor's degree,standard,completed,96,96,96,90,88,97,86,87
198,male,European,associate's degree,standard,completed,100,100,100,98,94,90,91,88
199,male,African,high school,free/reduced,completed,58,49,59,67,57,77,74,79
200,male,Asian,some college,standard,none,73,86,75,80,89,91,78,78
201,female,European,some high school,standard,none,92,95,100,98,93,85,88,85
202,male,European,master's degree,free/reduced,none,82,82,82,86,81,78,79,80
203,female,Asian,some high school,standard,none,94,92,89,99,93,95,92,88
204,female,Asian,master's degree,standard,none,69,63,69,76,72,78,77,83
205,male,African,high school,free/reduced,completed,76,70,73,68,76,87,78,81
206,male,European,associate's degree,standard,none,72,80,82,81,74,90,85,82
207,male,European,doctorate,standard,completed,79,85,86,85,80,75,71,75
208,female,Asian,master's degree,free/reduced,none,51,36,59,64,51,75,67,64
209,male,Asian,master's degree,standard,none,65,68,75,66,71,80,69,70
210,female,African,associate's degree,free/reduced,none,41,41,54,53,46,51,52,50
211,female,European,some college,free/reduced,none,86,85,85,88,85,100,100,100
212,male,European,bachelor's degree,free/reduced,none,89,83,89,90,80,90,90,87
213,male,American,some high school,standard,none,79,83,81,82,79,83,80,85
214,female,European,some college,standard,none,74,77,72,75,76,76,69,74
215,male,European,bachelor's degree,free/reduced,completed,83,81,79,75,73,90,76,79
216,female,African,some college,standard,none,81,81,87,86,79,84,75,88
217,female,European,associate's degree,standard,none,67,70,78,71,69,72,66,66
218,male,American,bachelor's degree,standard,none,66,67,71,69,61,68,67,71
219,male,Asian,associate's degree,standard,completed,61,66,73,68,70,63,70,65
220,male,European,doctorate,standard,completed,92,88,88,94,92,100,100,100
221,female,European,doctorate,standard,none,69,58,62,65,62,72,67,67
222,female,American,high school,standard,none,66,67,77,70,74,75,68,74
223,male,Asian,bachelor's degree,standard,completed,80,82,86,84,70,69,72,70
224,female,European,doctorate,free/reduced,none,75,78,79,81,76,69,74,79
225,female,European,bachelor's degree,free/reduced,none,84,78,80,85,76,76,79,78
226,female,European,bachelor's degree,standard,completed,78,76,80,80,73,70,75,68
227,female,Asian,doctorate,standard,none,83,84,86,80,82,83,73,78
228,male,European,some college,free/reduced,none,83,89,91,90,86,80,78,79
229,female,European,associate's degree,standard,completed,75,71,79,86,79,85,83,86
230,male,European,high school,free/reduced,completed,59,69,63,64,63,80,76,74
231,female,European,some high school,free/reduced,none,82,91,87,86,87,89,84,81
232,female,European,high school,standard,none,70,56,68,67,61,72,67,64
233,male,African,doctorate,free/reduced,completed,83,85,89,80,86,79,73,80
234,male,European,doctorate,standard,none,86,94,91,95,93,93,89,85
235,male,European,some college,standard,completed,82,75,85,76,79,73,79,77
236,male,American,high school,standard,none,75,67,75,77,74,89,82,86
237,female,European,bachelor's degree,free/reduced,none,80,70,78,79,78,89,91,86
238,male,European,doctorate,standard,completed,91,90,90,86,87,80,78,76
239,male,European,associate's degree,standard,none,64,65,63,67,65,67,61,64
240,female,European,some college,free/reduced,none,76,83,85,82,84,83,89,83
241,female,European,doctorate,standard,none,80,77,84,80,77,75,77,76
242,male,European,high school,free/reduced,completed,77,79,89,85,87,93,90,84
243,male,Asian,associate's degree,standard,completed,84,84,81,81,84,82,83,86
244,female,European,some college,standard,none,68,72,74,77,70,77,78,72
245,male,European,some high school,free/reduced,completed,71,56,68,64,65,76,81,77
246,male,American,bachelor's degree,standard,none,76,74,81,69,74,78,83,80
247,male,European,bachelor's degree,standard,none,89,86,88,89,89,87,85,86
248,female,Asian,bachelor's degree,standard,completed,72,74,74,70,72,67,66,66
249,female,African,associate's degree,free/reduced,none,78,69,77,76,75,80,86,77
250,male,African,some college,standard,none,93,90,95,93,89,100,94,97
251,male,American,high school,free/reduced,completed,80,83,83,80,84,76,71,71
252,female,European,some college,standard,completed,86,84,87,87,82,96,91,90
253,female,Asian,some college,standard,none,90,83,83,93,86,95,94,92
254,female,European,associate's degree,standard,completed,80,83,81,82,74,100,100,92
255,male,European,associate's degree,standard,completed,70,69,84,76,75,75,74,72
256,female,American,some high school,free/reduced,none,100,100,99,98,94,80,69,80
257,male,European,some high school,free/reduced,none,88,90,88,87,89,94,90,89
258,male,European,associate's degree,standard,completed,68,67,75,82,77,79,76,83
259,female,European,some college,standard,none,90,82,82,84,84,90,88,81
260,female,African,bachelor's degree,standard,completed,80,78,75,87,81,84,73,72
261,male,European,master's degree,standard,none,96,96,90,89,90,85,87,90
262,male,European,master's degree,standard,completed,72,78,83,82,81,89,86,81
263,male,European,master's degree,standard,none,84,71,68,69,70,77,74,76
264,male,European,some college,standard,none,76,67,78,76,73,78,83,75
265,female,European,bachelor's degree,free/reduced,none,85,81,90,85,83,81,77,82
266,female,African,bachelor's degree,standard,none,91,88,91,88,82,92,87,92
267,male,Asian,some college,standard,completed,69,56,59,58,62,68,70,61
268,male,European,some high school,standard,none,88,83,85,84,83,100,99,98
269,male,European,some college,standard,none,65,63,65,64,66,73,72,70
270,male,European,associate's degree,free/reduced,none,75,75,72,76,71,76,68,70
271,male,European,high school,free/reduced,completed,71,76,67,79,77,86,80,78
272,female,European,associate's degree,standard,none,89,79,90,91,87,83,84,84
273,male,American,master's degree,standard,none,61,55,63,61,60,64,61,63
274,male,European,associate's degree,standard,none,75,74,81,79,77,66,63,62
275,male,Asian,bachelor's degree,standard,none,100,99,100,100,98,100,100,100
276,male,Asian,associate's degree,standard,none,91,95,93,86,83,89,84,81
277,male,European,associate's degree,standard,completed,100,100,100,100,97,94,93,95
278,male,European,doctorate,standard,none,69,67,79,76,79,71,72,78
279,female,European,some college,standard,none,91,90,89,92,83,97,85,87
280,female,European,master's degree,standard,completed,82,73,78,78,82,85,86,82
281,male,European,master's degree,standard,completed,72,85,76,71,79,83,85,81
282,female,European,high school,free/reduced,completed,52,54,57,61,62,67,64,66
283,male,American,master's degree,free/reduced,completed,81,83,82,79,80,87,81,84
284,male,European,some high school,standard,completed,66,66,64,65,62,76,66,73
285,female,European,master's degree,standard,completed,47,38,52,56,54,69,67,58
286,male,European,some college,standard,none,66,66,69,60,65,64,65,59
287,male,Asian,high school,standard,completed,86,85,92,88,84,82,83,78
288,female,European,bachelor's degree,free/reduced,none,70,65,71,70,66,81,77,72
289,female,Asian,bachelor's degree,standard,none,89,95,91,89,88,87,86,86
290,male,European,doctorate,standard,completed,64,56,68,57,63,68,67,62
291,female,American,high school,standard,none,85,83,85,78,79,72,78,71
292,male,American,doctorate,free/reduced,completed,82,86,87,89,89,87,81,90
293,female,European,master's degree,standard,completed,87,71,84,81,79,92,94,82
294,female,European,doctorate,free/reduced,completed,57,57,68,58,59,66,61,70
295,male,Asian,bachelor's degree,free/reduced,none,79,77,78,80,74,91,86,79
296,female,Asian,bachelor's degree,standard,none,65,58,73,71,70,77,74,66
297,male,American,high school,free/reduced,none,50,37,55,50,46,65,72,64
298,male,American,high school,standard,completed,69,70,73,66,61,72,72,74
299,male,European,some college,standard,none,83,74,73,76,73,81,83,86
300,female,European,some high school,free/reduced,none,82,90,91,78,83,81,77,92
301,female,European,some high school,free/reduced,completed,60,48,62,60,56,57,55,61
302,male,European,master's degree,free/reduced,none,80,80,85,81,79,87,83,84
303,male,European,doctorate,standard,none,91,92,91,88,91,87,82,85
304,female,American,some high school,standard,completed,66,67,66,77,68,76,78,74
305,male,European,master's degree,standard,none,73,62,74,72,68,77,78,74
306,female,European,high school,standard,completed,79,71,72,79,75,78,67,75
307,male,Asian,high school,standard,completed,78,89,86,83,80,86,88,85
308,male,European,associate's degree,standard,none,85,81,89,82,84,75,82,78
309,female,Asian,doctorate,standard,none,80,69,82,79,73,72,77,77
310,female,Asian,some high school,standard,completed,81,83,86,81,87,63,62,67
311,male,European,bachelor's degree,free/reduced,none,66,69,64,72,66,72,75,68
312,male,Asian,high school,free/reduced,none,80,79,81,80,79,82,80,77
313,female,Asian,high school,free/reduced,none,70,55,62,61,54,49,56,53
314,female,European,associate's degree,standard,none,78,79,82,78,77,88,87,88
315,male,European,high school,standard,completed,76,81,85,86,88,87,89,88
316,male,American,master's degree,free/reduced,completed,72,64,70,74,66,76,77,76
317,male,European,associate's degree,free/reduced,none,66,75,73,71,74,87,79,82
318,male,American,high school,free/reduced,completed,81,88,85,82,80,74,76,71
319,male,American,some college,standard,none,63,59,66,63,63,72,75,71
320,male,European,master's degree,free/reduced,none,81,71,82,74,75,74,72,71
321,male,European,high school,standard,none,91,87,92,82,88,85,84,83
322,male,European,associate's degree,standard,none,75,73,76,76,74,81,83,79
323,male,European,high school,free/reduced,none,71,64,72,73,71,72,77,68
324,female,European,doctorate,standard,none,79,77,79,82,70,100,94,96
325,male,European,high school,free/reduced,none,89,73,84,87,83,98,95,93
326,male,Asian,high school,free/reduced,none,81,87,89,89,92,100,97,96
327,male,European,doctorate,standard,completed,71,79,77,76,69,73,74,72
328,male,American,master's degree,standard,completed,58,63,60,61,58,61,58,59
329,female,European,bachelor's degree,standard,completed,64,75,71,75,73,76,82,76
330,male,Asian,master's degree,standard,none,48,55,60,66,57,66,63,69
331,male,European,associate's degree,free/reduced,none,60,62,72,73,69,74,72,61
332,male,Asian,master's degree,standard,completed,75,71,77,75,74,86,85,83
333,female,European,doctorate,free/reduced,none,63,70,72,65,61,78,69,70
334,male,European,some high school,standard,none,53,52,63,65,70,65,66,66
335,female,Asian,master's degree,standard,none,81,79,82,77,74,88,82,78
336,female,European,doctorate,standard,none,100,100,100,95,100,100,95,93
337,female,European,bachelor's degree,standard,none,85,89,96,93,95,96,95,88
338,female,American,doctorate,standard,none,94,88,96,85,90,75,69,73
339,female,European,bachelor's degree,standard,none,91,90,92,92,87,94,90,89
340,female,European,some college,standard,none,66,62,77,72,67,80,80,76
341,female,Asian,some high school,free/reduced,completed,65,60,69,68,70,70,66,64
342,male,Asian,associate's degree,standard,none,93,92,90,94,93,99,97,96
343,male,Asian,master's degree,standard,completed,78,80,70,82,78,93,95,95
344,female,European,high school,standard,completed,92,83,84,85,83,83,89,85
345,female,European,doctorate,standard,completed,79,74,82,78,73,75,75,73
346,female,European,doctorate,standard,completed,90,90,97,85,81,87,89,90
347,male,European,doctorate,standard,none,74,65,72,74,74,78,71,77
348,male,European,bachelor's degree,free/reduced,completed,87,77,82,91,81,100,97,91
349,male,European,some high school,standard,completed,69,72,68,71,67,74,75,72
350,female,American,some college,standard,completed,74,63,68,72,70,80,77,83
351,male,European,some college,free/reduced,none,96,96,100,96,92,100,100,95
352,male,European,doctorate,standard,completed,68,59,77,75,67,88,85,83
353,male,European,master's degree,standard,completed,85,83,92,88,90,92,100,97
354,male,European,associate's degree,free/reduced,none,69,68,67,75,71,75,75,78
355,male,Asian,master's degree,standard,none,71,58,74,72,63,71,69,71
356,female,European,associate's degree,free/reduced,none,70,62,66,71,75,84,82,77
357,female,European,doctorate,free/reduced,none,59,50,58,61,67,68,70,67
358,male,European,some college,standard,none,59,52,57,63,51,71,73,72
359,female,Asian,doctorate,standard,completed,63,61,75,76,80,82,81,86
360,male,European,some college,standard,none,68,59,64,66,60,78,74,72
361,female,European,doctorate,standard,none,63,68,65,71,69,76,75,72
362,male,American,bachelor's degree,standard,none,67,62,69,68,65,65,63,65
363,female,European,bachelor's degree,free/reduced,none,74,75,83,82,71,74,78,80
364,female,European,master's degree,standard,none,79,87,84,84,89,83,89,86
365,female,European,some high school,standard,completed,72,69,80,78,72,86,84,83
366,male,European,high school,standard,none,77,75,73,73,70,77,75,80
367,female,European,high school,standard,none,81,84,81,86,86,84,89,81
368,female,Asian,some high school,standard,none,82,87,89,86,75,87,85,84
369,female,European,some high school,standard,completed,93,80,84,83,82,79,77,79
370,female,American,some high school,standard,none,49,43,60,60,57,71,62,67
371,male,European,some college,standard,none,67,63,73,74,66,77,77,71
372,female,European,high school,standard,completed,79,78,84,75,79,85,83,81
373,male,European,some college,free/reduced,none,71,80,70,73,75,91,83,86
374,male,European,associate's degree,standard,completed,95,93,100,100,95,99,98,94
375,female,Asian,master's degree,standard,completed,97,97,92,97,95,100,92,91
376,female,American,master's degree,standard,none,89,89,91,85,87,85,91,88
377,female,European,associate's degree,standard,none,65,58,61,62,64,84,74,74
378,female,European,some college,standard,completed,76,68,81,75,76,77,80,77
379,female,Asian,doctorate,free/reduced,completed,72,67,69,71,71,87,89,83
380,male,European,some high school,standard,completed,67,70,64,74,66,75,77,73
381,female,European,associate's degree,standard,none,100,96,100,90,95,86,89,84
382,male,European,doctorate,standard,none,57,51,57,60,54,70,72,68
383,male,American,high school,standard,none,76,71,83,77,71,76,80,82
384,male,European,master's degree,standard,none,94,86,83,87,86,85,89,87
385,female,European,associate's degree,standard,none,100,100,100,95,100,90,87,96
386,male,European,master's degree,free/reduced,completed,82,90,88,82,82,85,79,77
387,male,European,master's degree,free/reduced,none,63,65,72,68,64,63,63,63
388,male,European,doctorate,standard,none,70,71,78,66,67,62,70,67
389,male,European,bachelor's degree,standard,none,93,87,92,97,85,97,97,96
390,female,European,bachelor's degree,free/reduced,none,84,70,84,84,76,82,83,85
391,female,Asian,some high school,standard,none,66,67,72,68,66,65,65,71
392,female,European,some high school,free/reduced,none,66,68,72,71,60,85,83,78
393,female,European,bachelor's degree,free/reduced,none,67,66,69,73,67,74,78,74
394,female,European,bachelor's degree,standard,none,72,72,79,77,71,79,80,82
395,female,European,high school,standard,completed,61,57,69,69,69,80,87,79
396,female,European,high school,free/reduced,none,62,59,71,75,67,78,79,74
397,male,European,doctorate,standard,none,75,64,69,80,74,93,90,83
398,male,American,high school,free/reduced,none,85,88,87,84,85,86,86,79
399,male,European,associate's degree,standard,completed,70,69,69,81,76,87,80,83
400,male,European,high school,standard,none,97,94,100,99,91,91,96,86
401,female,African,bachelor's degree,standard,none,71,64,71,71,72,69,71,70
402,male,American,doctorate,standard,none,96,93,100,99,100,100,100,100
403,female,European,associate's degree,standard,completed,83,87,83,86,86,98,92,95
404,male,European,bachelor's degree,free/reduced,completed,97,100,100,94,98,93,89,94
405,female,European,doctorate,free/reduced,none,61,58,63,66,63,60,59,64
406,male,European,associate's degree,free/reduced,completed,73,68,73,72,75,70,71,66
407,female,American,associate's degree,standard,completed,76,76,87,83,80,84,92,86
408,female,European,associate's degree,free/reduced,completed,64,70,69,67,64,73,74,69
409,female,American,some college,standard,none,59,51,49,52,47,64,61,68
410,female,European,doctorate,standard,completed,72,78,83,77,76,85,81,90
411,male,American,bachelor's degree,standard,completed,79,89,89,91,90,92,83,85
412,female,European,bachelor's degree,standard,none,78,76,77,84,79,87,88,82
413,male,Asian,bachelor's degree,standard,completed,72,60,74,79,72,87,87,87
414,female,European,some high school,standard,completed,70,68,78,77,70,84,84,81
415,male,American,associate's degree,free/reduced,none,86,72,86,77,75,82,73,81
